id,title,location,colors,focus_key,focus_label,duration,description,extra,optional
pyramiden-training,Pyramiden Training,Kletterhalle,gelb,,,45+ min,Startend bei 2/3 Grad unter Rotpunktniveau wird die Schwierigkeit immer weiter erhöht. Bei Sturz sofort ablassen; eine Schwierigkeit so lange wiederholen bis sie geschafft ist. Ziel: möglichst hohe Schwierigkeit erreichen. Aufwärmen kann integriert werden.,Chalkbeutel bleibt unten,false
leichte-routen-spulen,Leichte Routen spulen,Kletterhalle,grün,,,60+ min,"Jedes Kind klettert 2 Routen (2/3 Grad unter Onsightniveau) dreimal – insgesamt 6-mal. Beim Wechsel max. 1 Minute Pause. Im Vorstieg möglich; ggf. erstes Mal vorsteigen, dann zweimal nachsteigen ohne umzubinden.",Chalkbeutel bleibt unten · möglichst schnell klettern,false
alle-routen-an-einem-seil,Alle Routen an einem Seil,Kletterhalle,grün|gelb,,,30+ min,"Alle Routen an einem Seil klettern (mind. 3 Routen). Bei Sturz direkt ablassen, keine Pause zwischen den Routen. Kinder überlegen selbst die beste Reihenfolge – taktischer Aspekt.",,false
boulderhalle-traversieren,Boulderhalle traversieren,Boulderhalle,grün,,,20+ min,Nur bei relativ leerer Halle! Möglichst langen Abschnitt traversieren (z. B. um die Mittelinsel) ohne Bodenkontakt. Bei anderen Kletterern in der Wand warten. Kinder auf verschiedene Stellen aufteilen.,Füße leise setzen · Hände/Füße nur einmal setzen (Position nicht verbessern),false
tschechentraining,Tschechentraining,Kletterhalle,gelb,,,,"Route auf Onsightniveau einmal klettern, dann schnell ablassen und sofort wieder einsteigen. So lange wiederholen bis das Kind stürzt. Route durchgehend ähnlich schwer. Mind. 3 Routen pro Person. Nur im Vorstieg.",,false
4-4,4×4,Boulderhalle,gelb,,,,"4 definierte Boulder ohne Pause nacheinander klettern. Nach jedem Top direkt zum nächsten. Danach 2,5–4 min Pause (unvollständige Erholung). 4-mal wiederholen = 16 Boulder gesamt. Boulder schwierig, aber 4 hintereinander gerade noch machbar.",,false
projekte-finden-ausbouldern,Projekte finden / ausbouldern,Kletterhalle,rot,,,,"Kinder finden neue Projekte: Routen über dem aktuellen Rotpunktlevel, aber realistisch. Diese ausbouldern, so dass möglichst jeder Zug einmal geschafft wird. Pausen erlaubt. Falls Route zu schwer/leicht – Auswahl ändern.",,false
projektieren,Projektieren,Kletterhalle,gelb|rot,,,,"Gute Versuche in Projekten machen (bereits ausgebouldert oder knapp über Flashniveau). Beim ersten Sturz ablassen – kein Ausbouldern, Fokus auf Versuchen. Mehrere Versuche mit genug Pause. Kinder über Fehler sprechen lassen.",,false
onsight-training,Onsight Training,Kletterhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,"Neue Routen (Onsight- bis Rotpunktgrad) werden geonsightet. Kinder setzen sich vor dem Einstieg mit der Route auseinander: in Paaren Schlüsselstellen, Pausenstellen und Clipp-Positionen identifizieren, Beta überlegen. Nach dem Onsight besprechen.",,false
freies-klettern-bouldern-mit-technikaufgabe,Freies Klettern / Bouldern mit Technikaufgabe,Kletterhalle / Boulderhalle,lila,,,,"Freies Klettern/Bouldern mit Zusatzaufgabe. Routen/Boulder nicht zu schwer – Fokus auf der Aufgabe. Aufgaben regelmäßig wechseln; kann auch ins verlängerte Aufwärmen integriert werden. Beispiele: Füße leise setzen, nicht nachgreifen/-treten, Fußwechsel, 3 sek innehalten vor jedem Griff, nur eingedreht klettern.",,false
